Year	Population	Year	Forfathers	Year	Formothers
0	1000	0	1	0	1
100	1431	4397	1	7632	1
200	1515	5370	2	8336	2
300	1751	7389	3	8462	3
400	1896	8474	4	8536	4
500	1651	8600	5	8833	5
600	1661	8712	6	8837	6
700	1567	8814	7	8917	7
800	1430	8902	8	8923	8
900	1522	9009	9	9114	9
1000	1522	9065	10	9122	10
1100	1460	9094	11	9146	11
1200	1464	9162	12	9182	12
1300	1306	9162	13	9206	13
1400	1347	9216	14	9219	14
1500	1407	9236	15	9236	15
1600	1277	9245	16	9239	16
1700	1227	9247	17	9271	17
1800	1091	9249	18	9295	18
1900	1022	9276	19	9296	19
2000	927	9377	20	9328	20
2100	1044	9380	21	9335	21
2200	941	9390	22	9341	22
2300	1012	9436	23	9383	23
2400	1194	9445	24	9505	24
2500	1155	9463	25	9530	25
2600	1166	9479	26	9547	26
2700	1170	9483	27	9553	27
2800	1223	9500	28	9586	28
2900	1477	9505	29	9587	29
3000	1427	9525	30	9599	30
3100	1353	9528	31	9621	31
3200	1404	9531	32	9622	32
3300	1468	9585	33	9630	33
3400	1542	9591	34	9660	34
3500	1234	9604	35	9661	35
3600	1157	9625	36	9679	36
3700	1177	9631	37	9683	37
3800	1286	9634	38	9696	38
3900	1361	9651	39	9708	39
4000	1261	9653	40	9715	40
4100	1155	9662	41	9718	41
4200	1006	9664	42	9727	42
4300	900	9685	43	9731	43
4400	902	9696	44	9737	44
4500	860	9727	45	9743	45
4600	904	9728	46	9755	46
4700	852	9746	47	9759	47
4800	959	9759	48	9759	48
4900	858	9761	49	9763	49
5000	650	9762	50	9768	50
5100	733	9762	51	9771	51
5200	719	9769	52	9775	52
5300	661	9771	53	9790	53
5400	766	9773	54	9794	54
5500	690	9773	55	9795	55
5600	665	9779	56	9795	56
5700	836	9783	57	9796	57
5800	732	9790	58	9796	58
5900	758	9801	59	9797	59
6000	595	9803	60	9801	60
6100	523	9806	61	9807	61
6200	491	9807	62	9825	62
6300	577	9810	63	9827	63
6400	477	9812	64	9829	64
6500	488	9815	65	9831	65
6600	637	9815	66	9835	66
6700	607	9817	67	9835	67
6800	438	9819	68	9838	68
6900	481	9822	69	9838	69
7000	447	9824	70	9841	70
7100	307	9825	71	9841	71
7200	296	9825	72	9843	72
7300	300	9832	73	9846	73
7400	210	9834	74	9851	74
7500	152	9834	75	9853	75
7600	192	9835	76	9853	76
7700	143	9839	77	9857	77
7800	203	9840	78	9858	78
7900	204	9841	79	9858	79
8000	230	9842	80	9863	80
8100	337	9844	81	9864	81
8200	266	9846	82	9865	82
8300	197	9846	83	9867	83
8400	178	9847	84	9867	84
8500	217	9848	85	9868	85
8600	130	9849	86	9868	86
8700	176	9851	87	9868	87
8800	265	9853	88	9870	88
8900	240	9856	89	9870	89
9000	191	9858	90	9870	90
9100	249	9859	91	9872	91
9200	328	9861	92	9873	92
9300	459	9862	93	9874	93
9400	659	9863	94	9875	94
9500	704	9865	95	9875	95
9600	740	9866	96	9879	96
9700	667	9866	97	9879	97
9800	761	9867	98	9880	98
9900	731	9868	99	9881	99
10000	865	9869	100	9881	100
		9869	101	9882	101
		9869	102	9882	102
		9870	103	9882	103
		9871	104	9883	104
		9873	105	9884	105
		9873	106	9884	106
		9875	107	9886	107
		9878	108	9887	108
		9878	109	9887	109
		9879	110	9887	110
		9879	111	9889	111
		9879	112	9890	112
		9883	113	9890	113
		9883	114	9890	114
		9884	115	9891	115
		9884	116	9893	116
		9885	117	9893	117
		9886	118	9894	118
		9887	119	9894	119
		9889	120	9894	120
		9889	121	9894	121
		9890	122	9894	122
		9891	123	9896	123
		9891	124	9896	124
		9891	125	9897	125
		9891	126	9899	126
		9892	127	9899	127
		9892	128	9900	128
		9892	129	9901	129
		9892	130	9901	130
		9893	131	9902	131
		9893	132	9902	132
		9893	133	9903	133
		9894	134	9904	134
		9894	135	9904	135
		9895	136	9904	136
		9895	137	9905	137
		9895	138	9905	138
		9895	139	9905	139
		9896	140	9906	140
		9897	141	9907	141
		9897	142	9909	142
		9897	143	9910	143
		9898	144	9911	144
		9900	145	9912	145
		9902	146	9912	146
		9902	147	9913	147
		9903	148	9913	148
		9903	149	9914	149
		9903	150	9914	150
		9903	151	9914	151
		9904	152	9914	152
		9904	153	9915	153
		9906	154	9915	154
		9906	155	9915	155
		9908	156	9916	156
		9908	157	9916	157
		9908	158	9916	158
		9908	159	9916	159
		9909	160	9916	160
		9909	161	9917	161
		9910	162	9918	162
		9910	163	9919	163
		9910	164	9919	164
		9910	165	9919	165
		9911	166	9920	166
		9912	167	9920	167
		9913	168	9920	168
		9913	169	9920	169
		9915	170	9921	170
		9915	171	9921	171
		9916	172	9921	172
		9916	173	9921	173
		9918	174	9922	174
		9918	175	9923	175
		9918	176	9923	176
		9918	177	9924	177
		9919	178	9924	178
		9919	179	9924	179
		9919	180	9924	180
		9919	181	9924	181
		9920	182	9924	182
		9920	183	9924	183
		9920	184	9925	184
		9921	185	9925	185
		9922	186	9925	186
		9922	187	9925	187
		9922	188	9925	188
		9923	189	9925	189
		9923	190	9926	190
		9923	191	9926	191
		9924	192	9927	192
		9924	193	9927	193
		9924	194	9927	194
		9924	195	9927	195
		9924	196	9927	196
		9924	197	9927	197
		9924	198	9927	198
		9924	199	9928	199
		9924	200	9928	200
		9925	201	9928	201
		9925	202	9928	202
		9925	203	9928	203
		9925	204	9929	204
		9925	205	9929	205
		9925	206	9929	206
		9925	207	9929	207
		9926	208	9929	208
		9927	209	9929	209
		9927	210	9929	210
		9927	211	9930	211
		9927	212	9930	212
		9927	213	9930	213
		9928	214	9931	214
		9928	215	9932	215
		9928	216	9932	216
		9929	217	9932	217
		9929	218	9932	218
		9929	219	9933	219
		9930	220	9933	220
		9930	221	9933	221
		9931	222	9933	222
		9931	223	9933	223
		9932	224	9933	224
		9932	225	9934	225
		9932	226	9934	226
		9932	227	9934	227
		9932	228	9934	228
		9932	229	9934	229
		9933	230	9935	230
		9933	231	9935	231
		9933	232	9935	232
		9933	233	9935	233
		9933	234	9935	234
		9933	235	9935	235
		9933	236	9936	236
		9933	237	9936	237
		9933	238	9936	238
		9933	239	9936	239
		9933	240	9936	240
		9933	241	9936	241
		9934	242	9937	242
		9934	243	9937	243
		9935	244	9937	244
		9935	245	9937	245
		9935	246	9937	246
		9935	247	9938	247
		9935	248	9938	248
		9936	249	9938	249
		9936	250	9938	250
		9936	251	9938	251
		9937	252	9938	252
		9937	253	9938	253
		9937	254	9939	254
		9937	255	9939	255
		9938	256	9939	256
		9938	257	9939	257
		9938	258	9939	258
		9938	259	9939	259
		9938	260	9939	260
		9938	261	9939	261
		9938	262	9939	262
		9939	263	9939	263
		9939	264	9939	264
		9939	265	9939	265
		9939	266	9939	266
		9939	267	9939	267
		9939	268	9940	268
		9939	269	9940	269
		9939	270	9940	270
		9939	271	9941	271
		9940	272	9941	272
		9940	273	9942	273
		9940	274	9942	274
		9940	275	9942	275
		9940	276	9942	276
		9940	277	9942	277
		9940	278	9942	278
		9940	279	9942	279
		9941	280	9942	280
		9941	281	9942	281
		9941	282	9942	282
		9941	283	9942	283
		9941	284	9942	284
		9942	285	9942	285
		9942	286	9942	286
		9942	287	9942	287
		9942	288	9942	288
		9942	289	9943	289
		9942	290	9943	290
		9942	291	9943	291
		9942	292	9943	292
		9942	293	9943	293
		9942	294	9943	294
		9942	295	9943	295
		9942	296	9943	296
		9942	297	9943	297
		9942	298	9943	298
		9943	299	9943	299
		9943	300	9943	300
		9943	301	9944	301
		9943	302	9944	302
		9943	303	9944	303
		9943	304	9944	304
		9943	305	9944	305
		9943	306	9944	306
		9943	307	9944	307
		9943	308	9944	308
		9943	309	9945	309
		9943	310	9945	310
		9943	311	9945	311
		9943	312	9945	312
		9944	313	9945	313
		9944	314	9945	314
		9944	315	9945	315
		9944	316	9945	316
		9944	317	9945	317
		9944	318	9946	318
		9945	319	9946	319
		9945	320	9946	320
		9945	321	9947	321
		9945	322	9947	322
		9945	323	9947	323
		9945	324	9947	324
		9945	325	9948	325
		9945	326	9948	326
		9945	327	9948	327
		9945	328	9948	328
		9945	329	9948	329
		9946	330	9948	330
		9946	331	9948	331
		9946	332	9948	332
		9946	333	9948	333
		9947	334	9948	334
		9947	335	9948	335
		9947	336	9948	336
		9947	337	9948	337
		9947	338	9948	338
		9947	339	9949	339
		9947	340	9949	340
		9948	341	9949	341
		9948	342	9949	342
		9948	343	9949	343
		9948	344	9949	344
		9948	345	9949	345
		9948	346	9950	346
		9948	347	9950	347
		9948	348	9950	348
		9948	349	9950	349
		9948	350	9950	350
		9948	351	9950	351
		9948	352	9950	352
		9948	353	9950	353
		9948	354	9951	354
		9948	355	9951	355
		9948	356	9951	356
		9948	357	9951	357
		9948	358	9951	358
		9948	359	9951	359
		9949	360	9951	360
		9949	361	9951	361
		9949	362	9951	362
		9949	363	9951	363
		9949	364	9951	364
		9949	365	9951	365
		9950	366	9951	366
		9950	367	9952	367
		9950	368	9952	368
		9950	369	9952	369
