Year	Population	YearF	Forfather	YearM	Formother
0	5000	0	7	0	3
100	7725	3057	7	1060	3
200	7559	3689	8	5470	4
300	7636	6372	9	12074	5
400	7904	7232	10	12441	6
500	7466	9161	11	12458	7
600	7647	9644	12	12719	8
700	7811	11546	13	13220	9
800	7993	12407	14	13357	10
900	8228	12417	15	13399	11
1000	8729	13286	16	14127	12
1100	8676	13352	17	14270	13
1200	8522	14579	18	14877	14
1300	8890	14776	19	15027	15
1400	8572	14784	20	15279	16
1500	8617	15176	21	15754	17
1600	8750	15292	22	16430	18
1700	8686	15426	23	16447	19
1800	8927	15471	24	16657	20
1900	9405	16332	25	16679	21
2000	9352	16687	26	16754	22
2100	8675	16870	27	16836	23
2200	8193	16949	28	16903	24
2300	7499	16971	29	16913	25
2400	7698	17092	30	17216	26
2500	7963	17317	31	17376	27
2600	8180	17413	32	17448	28
2700	8611	17459	33	17681	29
2800	8410	17580	34	17695	30
2900	8335	17729	35	17750	31
3000	7890	17811	36	17822	32
3100	7332	17820	37	17876	33
3200	7693	17851	38	17894	34
3300	7860	17944	39	17919	35
3400	7524	18031	40	17956	36
3500	6957	18058	41	18034	37
3600	6861	18128	42	18051	38
3700	6468	18220	43	18051	39
3800	6359	18231	44	18070	40
3900	6457	18232	45	18344	41
4000	6218	18240	46	18358	42
4100	6162	18245	47	18389	43
4200	6123	18269	48	18427	44
4300	5954	18280	49	18459	45
4400	6122	18281	50	18517	46
4500	6247	18322	51	18546	47
4600	6444	18324	52	18558	48
4700	6778	18335	53	18562	49
4800	6663	18337	54	18616	50
4900	6811	18352	55	18636	51
5000	6763	18366	56	18637	52
5100	6726	18388	57	18658	53
5200	6472	18395	58	18661	54
5300	6930	18416	59	18661	55
5400	6953	18420	60	18676	56
5500	6877	18426	61	18682	57
5600	6872	18435	62	18689	58
5700	7243	18446	63	18697	59
5800	6997	18483	64	18715	60
5900	7346	18485	65	18736	61
6000	7396	18491	66	18757	62
6100	7687	18520	67	18763	63
6200	8318	18525	68	18781	64
6300	8775	18541	69	18815	65
6400	9765	18548	70	18844	66
6500	9397	18560	71	18861	67
6600	9417	18560	72	18915	68
6700	9402	18581	73	18917	69
6800	9129	18624	74	18931	70
6900	9338	18646	75	18942	71
7000	9150	18680	76	18942	72
7100	9170	18717	77	18959	73
7200	9201	18737	78	18984	74
7300	9260	18744	79	18997	75
7400	9397	18753	80	19021	76
7500	9387	18753	81	19021	77
7600	9785	18771	82	19037	78
7700	9738	18836	83	19045	79
7800	9741	18843	84	19056	80
7900	9542	18867	85	19072	81
8000	9270	18869	86	19079	82
8100	9308	18878	87	19088	83
8200	8959	18880	88	19101	84
8300	8694	18891	89	19105	85
8400	8652	18906	90	19117	86
8500	9164	18915	91	19120	87
8600	8954	18926	92	19138	88
8700	8652	18938	93	19142	89
8800	8425	18943	94	19143	90
8900	8204	18970	95	19158	91
9000	8306	18997	96	19165	92
9100	8289	19001	97	19166	93
9200	7637	19009	98	19174	94
9300	7870	19023	99	19203	95
9400	8041	19023	100	19214	96
9500	8396	19024	101	19220	97
9600	8861	19024	102	19237	98
9700	8516	19033	103	19240	99
9800	8437	19040	104	19257	100
9900	8276	19054	105	19262	101
10000	8200	19058	106	19268	102
10100	7509	19060	107	19274	103
10200	7064	19062	108	19279	104
10300	6993	19062	109	19292	105
10400	7273	19063	110	19297	106
10500	7074	19077	111	19299	107
10600	6790	19077	112	19301	108
10700	6799	19085	113	19310	109
10800	6883	19087	114	19324	110
10900	6521	19089	115	19332	111
11000	6322	19092	116	19340	112
11100	6199	19108	117	19340	113
11200	6201	19112	118	19342	114
11300	5911	19123	119	19345	115
11400	5484	19130	120	19349	116
11500	5307	19131	121	19352	117
11600	4836	19146	122	19353	118
11700	4767	19148	123	19370	119
11800	4510	19152	124	19382	120
11900	4617	19173	125	19390	121
12000	4238	19173	126	19399	122
12100	4209	19203	127	19405	123
12200	4174	19205	128	19410	124
12300	4132	19207	129	19423	125
12400	3858	19208	130	19423	126
12500	3917	19213	131	19424	127
12600	4213	19223	132	19429	128
12700	4141	19244	133	19435	129
12800	4515	19245	134	19439	130
12900	4167	19251	135	19442	131
13000	4585	19279	136	19445	132
13100	4971	19279	137	19447	133
13200	5267	19280	138	19448	134
13300	5132	19283	139	19451	135
13400	4967	19288	140	19454	136
13500	4656	19289	141	19477	137
13600	4759	19308	142	19482	138
13700	4638	19314	143	19483	139
13800	4778	19315	144	19484	140
13900	4944	19317	145	19484	141
14000	5160	19322	146	19490	142
14100	5315	19329	147	19491	143
14200	5385	19337	148	19493	144
14300	5537	19338	149	19500	145
14400	5414	19339	150	19501	146
14500	5124	19343	151	19501	147
14600	5204	19366	152	19511	148
14700	5325	19374	153	19517	149
14800	5857	19382	154	19522	150
14900	5920	19383	155	19523	151
15000	5529	19385	156	19525	152
15100	5712	19398	157	19530	153
15200	5675	19401	158	19532	154
15300	5552	19403	159	19542	155
15400	5719	19406	160	19542	156
15500	5848	19409	161	19544	157
15600	5584	19413	162	19551	158
15700	5012	19416	163	19552	159
15800	5110	19418	164	19560	160
15900	5282	19421	165	19561	161
16000	5386	19422	166	19562	162
16100	4990	19423	167	19563	163
16200	4990	19426	168	19566	164
16300	5003	19428	169	19569	165
16400	4682	19434	170	19574	166
16500	4343	19436	171	19574	167
16600	4765	19437	172	19577	168
16700	4592	19452	173	19577	169
16800	4662	19454	174	19581	170
16900	4133	19457	175	19585	171
17000	3768	19462	176	19586	172
17100	3772	19465	177	19588	173
17200	3770	19469	178	19590	174
17300	3740	19476	179	19592	175
17400	4235	19476	180	19593	176
17500	4185	19477	181	19594	177
17600	4073	19478	182	19596	178
17700	3823	19479	183	19596	179
17800	3555	19481	184	19601	180
17900	3623	19487	185	19604	181
18000	3707	19490	186	19604	182
18100	3909	19492	187	19604	183
18200	3660	19492	188	19604	184
18300	3583	19494	189	19605	185
18400	3681	19495	190	19607	186
18500	3826	19497	191	19607	187
18600	3933	19499	192	19608	188
18700	4333	19507	193	19610	189
18800	4515	19509	194	19611	190
18900	4694	19511	195	19612	191
19000	5033	19516	196	19614	192
19100	5334	19518	197	19616	193
19200	5184	19519	198	19616	194
19300	4985	19520	199	19616	195
19400	4842	19521	200	19618	196
19500	4858	19521	201	19619	197
19600	4638	19522	202	19621	198
19700	4515	19527	203	19623	199
19800	4691	19532	204	19623	200
19900	4612	19535	205	19624	201
20000	4491	19537	206	19626	202
		19541	207	19628	203
		19542	208	19629	204
		19543	209	19630	205
		19552	210	19636	206
		19553	211	19646	207
		19555	212	19646	208
		19555	213	19647	209
		19561	214	19653	210
		19564	215	19653	211
		19572	216	19654	212
		19575	217	19654	213
		19576	218	19655	214
		19577	219	19657	215
		19577	220	19661	216
		19577	221	19662	217
		19578	222	19663	218
		19578	223	19664	219
		19579	224	19667	220
		19579	225	19667	221
		19585	226	19669	222
		19585	227	19669	223
		19586	228	19676	224
		19590	229	19676	225
		19591	230	19676	226
		19595	231	19676	227
		19596	232	19679	228
		19598	233	19683	229
		19601	234	19683	230
		19604	235	19684	231
		19605	236	19687	232
		19607	237	19689	233
		19607	238	19691	234
		19609	239	19691	235
		19612	240	19692	236
		19616	241	19694	237
		19616	242	19695	238
		19616	243	19697	239
		19617	244	19697	240
		19619	245	19698	241
		19620	246	19698	242
		19625	247	19699	243
		19626	248	19700	244
		19628	249	19701	245
		19630	250	19702	246
		19633	251	19703	247
		19634	252	19704	248
		19635	253	19704	249
		19636	254	19706	250
		19636	255	19709	251
		19637	256	19709	252
		19638	257	19712	253
		19638	258	19713	254
		19642	259	19716	255
		19644	260	19716	256
		19644	261	19717	257
		19644	262	19722	258
		19647	263	19725	259
		19649	264	19725	260
		19650	265	19727	261
		19650	266	19728	262
		19651	267	19729	263
		19653	268	19730	264
		19654	269	19731	265
		19654	270	19732	266
		19655	271	19732	267
		19655	272	19732	268
		19661	273	19733	269
		19666	274	19734	270
		19667	275	19734	271
		19669	276	19737	272
		19670	277	19738	273
		19670	278	19738	274
		19671	279	19739	275
		19671	280	19740	276
		19671	281	19741	277
		19671	282	19742	278
		19673	283	19742	279
		19673	284	19743	280
		19674	285	19744	281
		19675	286	19745	282
		19675	287	19745	283
		19675	288	19746	284
		19678	289	19746	285
		19679	290	19748	286
		19680	291	19749	287
		19681	292	19750	288
		19681	293	19750	289
		19681	294	19751	290
		19682	295	19753	291
		19683	296	19754	292
		19684	297	19754	293
		19686	298	19756	294
		19686	299	19756	295
		19687	300	19756	296
		19688	301	19760	297
		19689	302	19760	298
		19690	303	19760	299
		19691	304	19762	300
		19692	305	19762	301
		19692	306	19763	302
		19694	307	19765	303
		19696	308	19765	304
		19701	309	19765	305
		19701	310	19766	306
		19701	311	19767	307
		19702	312	19767	308
		19705	313	19768	309
		19705	314	19770	310
		19705	315	19771	311
		19706	316	19771	312
		19707	317	19771	313
		19708	318	19772	314
		19710	319	19773	315
		19710	320	19774	316
		19711	321	19777	317
		19711	322	19778	318
		19714	323	19779	319
		19714	324	19781	320
		19715	325	19781	321
		19715	326	19782	322
		19715	327	19784	323
		19717	328	19784	324
		19717	329	19784	325
		19718	330	19784	326
		19718	331	19785	327
		19719	332	19785	328
		19719	333	19785	329
		19721	334	19787	330
		19724	335	19788	331
		19729	336	19788	332
		19730	337	19789	333
		19733	338	19789	334
		19733	339	19790	335
		19734	340	19790	336
		19735	341	19790	337
		19736	342	19791	338
		19736	343	19792	339
		19737	344	19792	340
		19739	345	19792	341
		19739	346	19793	342
		19740	347	19794	343
		19741	348	19794	344
		19742	349	19794	345
		19743	350	19795	346
		19743	351	19795	347
		19743	352	19795	348
		19745	353	19795	349
