Year	Forefathers
0	1
7369	2
7391	3
7768	4
8001	5
8414	6
8449	7
8547	8
8649	9
8674	10
8949	11
9024	12
9066	13
9129	14
9236	15
9248	16
9303	17
9332	18
9378	19
9444	20
9529	21
9545	22
9573	23
9592	24
9593	25
9595	26
9598	27
9602	28
9611	29
9618	30
9641	31
9646	32
9648	33
9656	34
9665	35
9670	36
9683	37
9695	38
9715	39
9717	40
9718	41
9718	42
9733	43
9739	44
9739	45
9745	46
9752	47
9760	48
9761	49
9765	50
9772	51
9773	52
9780	53
9781	54
9783	55
9787	56
9791	57
9794	58
9801	59
9805	60
9808	61
9809	62
9813	63
9817	64
9825	65
9826	66
9826	67
9826	68
9831	69
9839	70
9839	71
9840	72
9841	73
9844	74
9847	75
9851	76
9852	77
9853	78
9854	79
9858	80
9861	81
9864	82
9867	83
9869	84
9872	85
9880	86
9881	87
9882	88
9886	89
9887	90
9894	91
9898	92
9898	93
9898	94
9901	95
9903	96
9903	97
9904	98
9906	99
9908	100
9909	101
9909	102
9912	103
9912	104
9912	105
9913	106
9915	107
9915	108
9916	109
9921	110
9921	111
9921	112
9922	113
9923	114
9923	115
9923	116
9923	117
9925	118
9925	119
9926	120
9926	121
9926	122
9927	123
9928	124
9929	125
9929	126
9929	127
9931	128
9931	129
9931	130
9931	131
9931	132
9931	133
9931	134
9932	135
9933	136
9933	137
9933	138
9933	139
9934	140
9934	141
9934	142
9934	143
9934	144
9934	145
9934	146
9934	147
9935	148
9935	149
9935	150
9935	151
9935	152
9936	153
9937	154
9937	155
9937	156
9937	157
9938	158
9938	159
9938	160
9939	161
9939	162
9939	163
9939	164
9939	165
9939	166
9939	167
9939	168
9939	169
9939	170
9940	171
9940	172
9940	173
9940	174
9940	175
9940	176
9941	177
9942	178
9943	179
9943	180
9944	181
9946	182
9946	183
9947	184
9947	185
9947	186
9947	187
9948	188
9948	189
9948	190
9948	191
9948	192
9948	193
9948	194
9948	195
9949	196
9949	197
9949	198
9950	199
9950	200
9950	201
9950	202
9950	203
9950	204
9951	205
9951	206
9951	207
9952	208
9952	209
9952	210
9953	211
9953	212
9953	213
9953	214
9954	215
9955	216
9955	217
9955	218
9955	219
9955	220
9955	221
9956	222
9957	223
9957	224
9957	225
9958	226
9958	227
9958	228
9958	229
9958	230
9958	231
9958	232
9958	233
9959	234
9959	235
9959	236
9960	237
9960	238
9960	239
9961	240
9962	241
9962	242
9962	243
9962	244
9962	245
9962	246
9962	247
9962	248
9962	249
9962	250
9963	251
9963	252
9964	253
9964	254
9965	255
9965	256
9965	257
9966	258
9966	259
9966	260
9966	261
9967	262
9967	263
9967	264
9967	265
9967	266
9967	267
9967	268
9968	269
9969	270
9969	271
9969	272
9969	273
9969	274
9969	275
9969	276
9969	277
9970	278
9971	279
9971	280
9971	281
9971	282
9971	283
9971	284
9971	285
9971	286
9971	287
9971	288
9971	289
9971	290
9972	291
9972	292
9972	293
9972	294
9972	295
9973	296
9974	297
9974	298
9974	299
9974	300
9974	301
9974	302
9974	303
9974	304
9975	305
9975	306
9975	307
9975	308
9975	309
9975	310
9975	311
9975	312
9976	313
9976	314
9977	315
9977	316
9977	317
9977	318
9977	319
9979	320
9979	321
9979	322
9980	323
9980	324
9980	325
9980	326
9980	327
9980	328
9981	329
9981	330
9983	331
9983	332
9984	333
9985	334
9985	335
9986	336
9986	337
9986	338
9987	339
9987	340
9987	341
9987	342
9987	343
9988	344
9988	345
9988	346
9988	347
9988	348
9989	349
9989	350
9989	351
9990	352
9990	353
9990	354
9990	355
9991	356
9991	357
9992	358
9992	359
9992	360
9992	361
9992	362
9992	363
9993	364
9993	365
9993	366
9994	367
9994	368
9994	369
9994	370
9995	371
9995	372
9995	373
9996	374
9997	375
9998	376
