Year	Population
0	1000
100	1423
200	1416
300	1434
400	1581
500	1708
600	1779
700	1731
800	1679
900	1774
1000	1799
1100	1710
1200	1710
1300	1472
1400	1539
1500	1529
1600	1469
1700	1460
1800	1276
1900	1220
2000	1117
2100	1009
2200	959
2300	984
2400	879
2500	804
2600	705
2700	788
2800	977
2900	915
3000	945
3100	954
3200	833
3300	762
3400	956
3500	944
3600	1121
3700	1209
3800	1216
3900	1094
4000	1091
4100	1081
4200	1223
4300	1192
4400	1023
4500	947
4600	968
4700	919
4800	946
4900	1089
5000	1141
5100	1275
5200	1295
5300	1343
5400	1467
5500	1507
5600	1524
5700	1398
5800	1492
5900	1369
6000	1369
6100	1268
6200	1065
6300	1138
6400	1158
6500	1014
6600	1089
6700	1216
6800	1386
6900	1472
7000	1513
7100	1466
7200	1652
7300	1630
7400	1591
7500	1542
7600	1422
7700	1432
7800	1393
7900	1363
8000	1202
8100	985
8200	1124
8300	1140
8400	1104
8500	1195
8600	1130
8700	1009
8800	920
8900	789
9000	684
9100	716
9200	819
9300	883
9400	1018
9500	1002
9600	948
9700	1134
9800	1083
9900	932
10000	1000
