Year	Foremothers
0	1
4182	1
4794	2
4925	3
5729	4
7231	5
7521	6
7737	7
8144	8
8658	9
8675	10
8702	11
8761	12
8884	13
8927	14
8958	15
9055	16
9118	17
9137	18
9168	19
9244	20
9278	21
9367	22
9390	23
9403	24
9418	25
9431	26
9461	27
9539	28
9548	29
9550	30
9585	31
9598	32
9601	33
9604	34
9614	35
9645	36
9648	37
9659	38
9661	39
9669	40
9675	41
9697	42
9708	43
9709	44
9715	45
9717	46
9719	47
9720	48
9732	49
9733	50
9752	51
9754	52
9758	53
9759	54
9762	55
9768	56
9772	57
9773	58
9779	59
9783	60
9788	61
9789	62
9791	63
9796	64
9798	65
9807	66
9810	67
9817	68
9818	69
9822	70
9823	71
9824	72
9827	73
9827	74
9831	75
9835	76
9835	77
9841	78
9842	79
9846	80
9848	81
9853	82
9854	83
9857	84
9860	85
9866	86
9867	87
9872	88
9874	89
9878	90
9880	91
9880	92
9880	93
9881	94
9882	95
9884	96
9884	97
9885	98
9887	99
9889	100
9890	101
9890	102
9890	103
9892	104
9894	105
9896	106
9896	107
9898	108
9899	109
9899	110
9899	111
9900	112
9900	113
9901	114
9903	115
9904	116
9906	117
9909	118
9911	119
9912	120
9912	121
9912	122
9912	123
9913	124
9913	125
9914	126
9914	127
9916	128
9917	129
9921	130
9921	131
9921	132
9921	133
9921	134
9922	135
9924	136
9924	137
9924	138
9925	139
9925	140
9925	141
9926	142
9926	143
9926	144
9926	145
9926	146
9927	147
9927	148
9927	149
9927	150
9927	151
9927	152
9928	153
9928	154
9929	155
9929	156
9929	157
9930	158
9930	159
9931	160
9931	161
9931	162
9931	163
9932	164
9932	165
9933	166
9933	167
9933	168
9934	169
9934	170
9934	171
9934	172
9934	173
9935	174
9936	175
9936	176
9936	177
9936	178
9936	179
9936	180
9937	181
9937	182
9937	183
9937	184
9937	185
9938	186
9938	187
9939	188
9939	189
9939	190
9939	191
9939	192
9939	193
9939	194
9939	195
9940	196
9940	197
9940	198
9940	199
9940	200
9940	201
9940	202
9940	203
9941	204
9941	205
9942	206
9942	207
9942	208
9942	209
9942	210
9942	211
9943	212
9943	213
9943	214
9944	215
9944	216
9944	217
9945	218
9945	219
9945	220
9945	221
9945	222
9945	223
9945	224
9945	225
9946	226
9946	227
9946	228
9946	229
9946	230
9946	231
9946	232
9946	233
9946	234
9947	235
9948	236
9948	237
9948	238
9948	239
9948	240
9948	241
9949	242
9949	243
9949	244
9949	245
9949	246
9949	247
9949	248
9949	249
9949	250
9950	251
9950	252
9950	253
9950	254
9950	255
9950	256
9950	257
9950	258
9950	259
9951	260
9951	261
9951	262
9951	263
9951	264
9951	265
9951	266
9951	267
9951	268
9951	269
9952	270
9952	271
9952	272
9952	273
9952	274
9953	275
9953	276
9953	277
9953	278
9953	279
9953	280
9953	281
9954	282
9954	283
9954	284
9954	285
9954	286
9954	287
9954	288
9954	289
9955	290
9955	291
9955	292
9955	293
9955	294
9956	295
9956	296
9956	297
9956	298
9956	299
9956	300
9957	301
9957	302
9957	303
9957	304
9957	305
9957	306
9958	307
9958	308
9958	309
9958	310
9958	311
9958	312
9958	313
9958	314
9958	315
9958	316
9959	317
9959	318
9959	319
9959	320
9960	321
9960	322
9960	323
9960	324
9960	325
9960	326
9960	327
9961	328
9961	329
9961	330
9961	331
9961	332
9961	333
9961	334
9962	335
9962	336
9962	337
9962	338
9962	339
9962	340
9962	341
9963	342
9963	343
9963	344
9963	345
9963	346
9964	347
9964	348
9964	349
9965	350
9965	351
9965	352
9965	353
9966	354
9967	355
9967	356
9967	357
9967	358
9967	359
9967	360
9967	361
9967	362
9967	363
9968	364
9968	365
9968	366
9968	367
9969	368
9969	369
9969	370
9969	371
9969	372
9970	373
9970	374
9970	375
9970	376
9970	377
9970	378
9970	379
9970	380
9970	381
9971	382
9971	383
9971	384
9971	385
9971	386
9971	387
9971	388
9971	389
9971	390
9972	391
9972	392
9972	393
9972	394
9972	395
9972	396
9972	397
9972	398
9972	399
9973	400
9973	401
9973	402
9974	403
9974	404
9974	405
9974	406
9974	407
9975	408
9975	409
9975	410
9975	411
9975	412
9975	413
9976	414
9976	415
9976	416
9976	417
9976	418
9976	419
9976	420
9977	421
9977	422
9977	423
9977	424
9977	425
9978	426
9978	427
9978	428
9978	429
9978	430
9979	431
9979	432
9979	433
9979	434
9979	435
9980	436
9980	437
9980	438
9980	439
9981	440
9981	441
9982	442
9983	443
9983	444
9983	445
9983	446
9983	447
9984	448
9984	449
9984	450
9985	451
9985	452
9985	453
9987	454
9987	455
9988	456
9988	457
9989	458
9989	459
9989	460
9990	461
9990	462
9990	463
9991	464
9991	465
9991	466
9992	467
9993	468
9994	469
9994	470
9994	471
9995	472
9995	473
9997	474
9998	475
