Year	Formothers
0	1
7632	1
8336	2
8462	3
8536	4
8833	5
8837	6
8917	7
8923	8
9114	9
9122	10
9146	11
9182	12
9206	13
9219	14
9236	15
9239	16
9271	17
9295	18
9296	19
9328	20
9335	21
9341	22
9383	23
9505	24
9530	25
9547	26
9553	27
9586	28
9587	29
9599	30
9621	31
9622	32
9630	33
9660	34
9661	35
9679	36
9683	37
9696	38
9708	39
9715	40
9718	41
9727	42
9731	43
9737	44
9743	45
9755	46
9759	47
9759	48
9763	49
9768	50
9771	51
9775	52
9790	53
9794	54
9795	55
9795	56
9796	57
9796	58
9797	59
9801	60
9807	61
9825	62
9827	63
9829	64
9831	65
9835	66
9835	67
9838	68
9838	69
9841	70
9841	71
9843	72
9846	73
9851	74
9853	75
9853	76
9857	77
9858	78
9858	79
9863	80
9864	81
9865	82
9867	83
9867	84
9868	85
9868	86
9868	87
9870	88
9870	89
9870	90
9872	91
9873	92
9874	93
9875	94
9875	95
9879	96
9879	97
9880	98
9881	99
9881	100
9882	101
9882	102
9882	103
9883	104
9884	105
9884	106
9886	107
9887	108
9887	109
9887	110
9889	111
9890	112
9890	113
9890	114
9891	115
9893	116
9893	117
9894	118
9894	119
9894	120
9894	121
9894	122
9896	123
9896	124
9897	125
9899	126
9899	127
9900	128
9901	129
9901	130
9902	131
9902	132
9903	133
9904	134
9904	135
9904	136
9905	137
9905	138
9905	139
9906	140
9907	141
9909	142
9910	143
9911	144
9912	145
9912	146
9913	147
9913	148
9914	149
9914	150
9914	151
9914	152
9915	153
9915	154
9915	155
9916	156
9916	157
9916	158
9916	159
9916	160
9917	161
9918	162
9919	163
9919	164
9919	165
9920	166
9920	167
9920	168
9920	169
9921	170
9921	171
9921	172
9921	173
9922	174
9923	175
9923	176
9924	177
9924	178
9924	179
9924	180
9924	181
9924	182
9924	183
9925	184
9925	185
9925	186
9925	187
9925	188
9925	189
9926	190
9926	191
9927	192
9927	193
9927	194
9927	195
9927	196
9927	197
9927	198
9928	199
9928	200
9928	201
9928	202
