Year	Population
0	5000
100	7156
200	7306
300	7143
400	7574
500	7764
600	7627
700	8240
800	8282
900	8194
1000	8093
1100	8274
1200	8112
1300	8141
1400	8061
1500	8286
1600	8394
1700	8801
1800	9076
1900	8419
2000	8774
2100	8293
2200	8259
2300	7635
2400	7595
2500	8281
2600	8597
2700	8731
2800	8179
2900	7861
3000	8004
3100	7868
3200	7994
3300	8139
3400	8150
3500	8238
3600	8123
3700	8323
3800	8855
3900	8689
4000	8397
4100	8710
4200	8561
4300	8113
4400	8473
4500	8191
4600	7960
4700	8000
4800	8058
4900	7961
5000	7752
5100	7848
5200	8020
5300	8277
5400	8537
5500	8545
5600	8531
5700	8326
5800	8138
5900	7914
6000	7836
6100	7752
6200	7654
6300	7767
6400	7810
6500	8158
6600	8446
6700	8636
6800	8981
6900	9236
7000	9086
7100	8430
7200	8521
7300	8885
7400	8776
7500	8553
7600	8620
7700	8792
7800	8782
7900	8626
8000	8696
8100	8833
8200	9048
8300	9391
8400	9775
8500	9715
8600	10227
8700	10049
8800	9638
8900	9305
9000	9073
9100	8951
9200	9381
9300	9470
9400	9696
9500	9427
9600	9920
9700	9887
9800	9917
9900	9953
10000	9736
10100	9508
10200	9110
10300	9018
10400	9127
10500	9081
10600	9041
10700	9209
10800	9689
10900	10464
11000	10428
11100	9784
11200	9548
11300	9825
11400	9326
11500	8970
11600	8849
11700	8738
11800	9030
11900	8836
12000	8548
12100	8739
12200	8427
12300	8736
12400	9152
12500	8939
12600	8718
12700	8785
12800	9112
12900	9410
13000	9248
13100	9075
13200	9284
13300	9628
13400	9421
13500	8752
13600	9008
13700	8588
13800	8744
13900	8639
14000	9232
14100	8642
14200	8762
14300	8780
14400	9133
14500	9025
14600	8735
14700	8667
14800	8853
14900	8777
15000	9337
15100	9507
15200	9317
15300	9694
15400	9992
15500	10388
15600	10254
15700	9903
15800	10075
15900	10605
16000	11305
16100	10891
16200	11116
16300	11088
16400	10459
16500	10446
16600	10699
16700	10815
16800	11052
16900	11226
17000	10824
17100	10517
17200	10347
17300	10262
17400	9628
17500	9786
17600	9748
17700	9723
17800	10196
17900	10445
18000	10406
18100	10311
18200	10349
18300	10447
18400	10318
18500	10251
18600	10519
18700	10163
18800	10174
18900	10564
19000	10991
19100	10597
19200	10666
19300	10605
19400	10994
19500	10979
19600	10935
19700	11025
19800	11500
19900	11368
20000	11533
20100	11909
20200	12146
20300	12137
20400	11472
20500	11450
20600	11986
20700	11550
20800	11511
20900	11378
21000	11998
21100	11541
21200	11765
21300	12051
21400	11859
21500	12004
21600	11931
21700	11935
21800	11685
21900	11538
22000	11655
22100	11537
22200	11595
22300	11172
22400	11162
22500	11154
22600	11275
22700	11813
22800	12233
22900	11824
23000	12161
23100	11899
23200	11841
23300	11799
23400	11812
23500	12092
23600	11954
23700	12422
23800	12747
23900	12623
24000	12726
24100	12494
24200	12550
24300	12125
24400	11302
24500	11524
24600	11328
24700	10880
24800	10429
24900	10738
25000	10472
25100	10485
25200	10472
25300	10064
25400	10402
25500	9987
25600	10002
25700	9623
25800	10202
25900	10075
