Year	Forefathers
0	1
5340	2
18419	3
27729	4
30782	5
30905	6
31843	7
32887	8
36050	9
38609	10
38809	11
39745	12
40068	13
40951	14
41164	15
41215	16
42285	17
42301	18
42429	19
42447	20
43037	21
43103	22
43306	23
43744	24
43978	25
44030	26
44055	27
44297	28
44437	29
44492	30
44714	31
44750	32
44765	33
44986	34
45077	35
45196	36
45376	37
45393	38
45400	39
45498	40
45665	41
45692	42
45762	43
45773	44
46110	45
46236	46
46277	47
46352	48
46361	49
46419	50
46455	51
46583	52
46669	53
46847	54
46851	55
46946	56
47078	57
47141	58
47160	59
47192	60
47254	61
47286	62
47338	63
47358	64
47414	65
47453	66
47457	67
47538	68
47546	69
47612	70
47647	71
47660	72
47690	73
47708	74
47711	75
47752	76
47789	77
47798	78
47801	79
47829	80
47932	81
47953	82
48002	83
48024	84
48039	85
48043	86
48069	87
48104	88
48142	89
48150	90
48161	91
48194	92
48282	93
48284	94
48286	95
48291	96
48352	97
48358	98
48373	99
48385	100
48401	101
48445	102
48477	103
48492	104
48495	105
48502	106
48504	107
48514	108
48529	109
48531	110
48531	111
48532	112
48534	113
48551	114
48552	115
48569	116
48577	117
48608	118
48624	119
48642	120
48672	121
48679	122
48680	123
48684	124
48686	125
48714	126
48738	127
48745	128
48748	129
48750	130
48754	131
48755	132
48793	133
48821	134
48826	135
48835	136
48841	137
48843	138
48846	139
48852	140
48853	141
48854	142
48862	143
48870	144
48870	145
48878	146
48890	147
48897	148
48898	149
48911	150
48914	151
48936	152
48948	153
48958	154
48962	155
48972	156
48977	157
48978	158
49005	159
49026	160
49029	161
49029	162
49032	163
49036	164
49047	165
49054	166
49059	167
49064	168
49064	169
49076	170
49081	171
49083	172
49102	173
49104	174
49104	175
49105	176
49106	177
49115	178
49115	179
49138	180
49140	181
49140	182
49141	183
49142	184
49144	185
49157	186
49163	187
49182	188
49189	189
49195	190
49197	191
49198	192
49201	193
49208	194
49210	195
49213	196
49214	197
49216	198
49216	199
49217	200
49223	201
49229	202
49230	203
49234	204
49236	205
49236	206
49240	207
49241	208
49243	209
49247	210
49250	211
49251	212
49253	213
49258	214
49266	215
49277	216
49279	217
49279	218
49283	219
49284	220
49287	221
49290	222
49292	223
49293	224
49297	225
49302	226
49306	227
49306	228
49308	229
49310	230
49312	231
49315	232
49316	233
49317	234
49318	235
49319	236
49320	237
49325	238
49328	239
49336	240
49338	241
49338	242
49339	243
49342	244
49343	245
49344	246
49345	247
49349	248
49352	249
49352	250
49354	251
49355	252
49355	253
49356	254
49359	255
49367	256
49371	257
49379	258
49384	259
49385	260
49387	261
49387	262
49390	263
49392	264
49392	265
49396	266
49399	267
49404	268
49405	269
49405	270
49405	271
49409	272
49409	273
49412	274
49412	275
49413	276
49416	277
49416	278
49423	279
49426	280
49428	281
49430	282
49431	283
49435	284
49435	285
49438	286
49439	287
49442	288
49450	289
49450	290
49453	291
49454	292
49455	293
49456	294
49459	295
49460	296
49460	297
49461	298
49467	299
49469	300
49471	301
49473	302
49474	303
49479	304
49479	305
49481	306
49482	307
49485	308
49485	309
49486	310
49488	311
49489	312
49491	313
49491	314
49492	315
49492	316
49493	317
49494	318
49494	319
49495	320
49496	321
49504	322
49505	323
49508	324
49511	325
49512	326
49512	327
49513	328
49517	329
49517	330
49519	331
49520	332
49521	333
49522	334
49526	335
49527	336
49530	337
49530	338
49532	339
49533	340
49535	341
49536	342
49538	343
49538	344
49538	345
49539	346
49541	347
49544	348
49545	349
49546	350
49547	351
49548	352
49549	353
49550	354
49550	355
49553	356
49553	357
49554	358
49555	359
49556	360
49556	361
49559	362
49560	363
49562	364
49562	365
49563	366
49564	367
49566	368
49566	369
49570	370
49573	371
49575	372
49576	373
49576	374
49578	375
49578	376
49579	377
49582	378
49584	379
49585	380
49587	381
49587	382
49588	383
49589	384
49590	385
49590	386
49591	387
49591	388
49592	389
49593	390
49595	391
49597	392
49597	393
49598	394
49598	395
49599	396
49599	397
49600	398
49600	399
49601	400
49601	401
49601	402
49601	403
49603	404
49603	405
49605	406
49606	407
49606	408
49607	409
49608	410
49610	411
49611	412
49612	413
49613	414
49615	415
49615	416
49616	417
49616	418
49616	419
49616	420
49618	421
49620	422
49620	423
49621	424
49622	425
49623	426
49624	427
49624	428
49625	429
49626	430
49626	431
49626	432
49626	433
49628	434
49629	435
49629	436
49629	437
49631	438
49633	439
49633	440
49635	441
49637	442
49637	443
49638	444
49638	445
49639	446
49639	447
49641	448
49642	449
49642	450
49643	451
49644	452
49645	453
49646	454
49648	455
49648	456
49649	457
49650	458
49650	459
49650	460
49651	461
49651	462
49653	463
49653	464
49653	465
49654	466
49654	467
49655	468
49659	469
49660	470
49660	471
49660	472
49661	473
49662	474
49663	475
49665	476
49666	477
49667	478
49668	479
49668	480
49668	481
49668	482
49668	483
49669	484
49670	485
49671	486
49671	487
49671	488
49672	489
49673	490
49673	491
49673	492
49673	493
49674	494
49675	495
49675	496
49676	497
49676	498
49676	499
49677	500
49677	501
49682	502
49682	503
49682	504
49684	505
49685	506
49685	507
49685	508
49686	509
49687	510
49688	511
49689	512
49689	513
49690	514
49690	515
49692	516
49692	517
49692	518
49692	519
49694	520
49695	521
49696	522
49696	523
49696	524
49696	525
49697	526
49697	527
49698	528
49698	529
49700	530
49701	531
49702	532
49702	533
49703	534
49704	535
49704	536
49704	537
49704	538
49705	539
49705	540
49711	541
49711	542
49715	543
49715	544
49716	545
49717	546
49718	547
49718	548
49718	549
49720	550
49721	551
49722	552
49722	553
49722	554
49722	555
49723	556
49723	557
49724	558
49724	559
49725	560
49725	561
49725	562
49726	563
49726	564
49728	565
49729	566
49729	567
49730	568
49730	569
49731	570
49731	571
49731	572
49732	573
49732	574
49732	575
49733	576
49733	577
49734	578
49734	579
49735	580
49738	581
49739	582
49739	583
49739	584
49740	585
49741	586
49741	587
49741	588
49742	589
49742	590
49744	591
49744	592
49745	593
49746	594
49746	595
49747	596
49747	597
49749	598
49751	599
49752	600
49752	601
49753	602
49754	603
49754	604
49755	605
49756	606
49757	607
49758	608
49758	609
49758	610
49759	611
49759	612
49759	613
49759	614
49760	615
49760	616
49761	617
49762	618
49762	619
49762	620
49763	621
49764	622
49765	623
49765	624
49765	625
49765	626
49765	627
49766	628
49766	629
49766	630
49766	631
49766	632
49768	633
49769	634
49769	635
49770	636
49770	637
49770	638
49770	639
49771	640
49772	641
49773	642
49774	643
49774	644
49775	645
49775	646
49775	647
49776	648
49776	649
49776	650
49777	651
49778	652
49778	653
49778	654
49779	655
49779	656
49779	657
49780	658
49780	659
49780	660
49781	661
49781	662
49782	663
49782	664
49782	665
49782	666
49782	667
49782	668
49782	669
49782	670
49782	671
49783	672
49784	673
49784	674
49785	675
49785	676
49786	677
49786	678
49786	679
49786	680
49787	681
49787	682
49787	683
49787	684
49787	685
49787	686
49787	687
49788	688
49788	689
49788	690
49788	691
49788	692
49788	693
49790	694
49790	695
49790	696
49791	697
49791	698
49792	699
49792	700
49792	701
49793	702
49793	703
49793	704
49794	705
49794	706
49794	707
49794	708
49794	709
49794	710
49794	711
49795	712
49795	713
49795	714
49795	715
49796	716
49796	717
49797	718
49797	719
49797	720
49797	721
49798	722
49798	723
49799	724
49799	725
49799	726
49799	727
49799	728
49800	729
49801	730
49801	731
49802	732
49802	733
49802	734
49803	735
49803	736
49803	737
49803	738
49804	739
49804	740
49805	741
49805	742
49806	743
49806	744
49807	745
49807	746
49807	747
49807	748
49808	749
49808	750
49808	751
49808	752
49808	753
49809	754
49809	755
49810	756
49810	757
49811	758
49812	759
49813	760
49813	761
49813	762
49813	763
49813	764
49813	765
49814	766
49814	767
49814	768
49815	769
49815	770
49815	771
49815	772
49815	773
49815	774
49815	775
49815	776
49816	777
49816	778
49816	779
49817	780
49817	781
49817	782
49817	783
49817	784
49817	785
49817	786
49818	787
49818	788
49818	789
49819	790
49819	791
49820	792
49820	793
49820	794
49820	795
49821	796
49821	797
49821	798
49821	799
49821	800
49821	801
49822	802
49822	803
49822	804
49823	805
49823	806
49823	807
49823	808
49823	809
49823	810
49825	811
49825	812
49825	813
49825	814
49825	815
49825	816
49826	817
49826	818
49826	819
49826	820
49826	821
49827	822
49827	823
49827	824
49827	825
49828	826
49828	827
49828	828
49828	829
49828	830
49828	831
49828	832
49828	833
49829	834
49829	835
49829	836
49829	837
49829	838
49830	839
49830	840
49830	841
49831	842
49831	843
49831	844
49831	845
49832	846
49832	847
49832	848
49832	849
49833	850
49833	851
49833	852
49833	853
49833	854
49833	855
49834	856
49834	857
49835	858
49835	859
49835	860
49836	861
49836	862
49836	863
49836	864
49836	865
49836	866
49837	867
49837	868
49838	869
49838	870
49838	871
49838	872
49839	873
49839	874
49839	875
49839	876
49839	877
49840	878
49840	879
