Year	Foremothers
0	3
27765	3
29173	4
29617	5
32881	6
32983	7
35413	8
37362	9
37740	10
39762	11
40354	12
40565	13
41367	14
41487	15
41776	16
41833	17
42540	18
42831	19
43427	20
44036	21
44083	22
44175	23
44252	24
44269	25
44752	26
45025	27
45081	28
45157	29
45346	30
45388	31
45526	32
45782	33
45887	34
45976	35
46115	36
46223	37
46441	38
46548	39
46637	40
46653	41
46884	42
46928	43
46999	44
47000	45
47104	46
47134	47
47146	48
47152	49
47155	50
47205	51
47277	52
47356	53
47482	54
47490	55
47600	56
47612	57
47669	58
47677	59
47760	60
47773	61
47773	62
47824	63
47868	64
47906	65
47953	66
47954	67
47961	68
47998	69
48047	70
48091	71
48095	72
48188	73
48195	74
48201	75
48218	76
48221	77
48229	78
48257	79
48287	80
48310	81
48352	82
48358	83
48410	84
48422	85
48433	86
48443	87
48456	88
48497	89
48552	90
48583	91
48596	92
48608	93
48609	94
48612	95
48619	96
48626	97
48645	98
48665	99
48665	100
48687	101
48704	102
48717	103
48725	104
48746	105
48765	106
48774	107
48777	108
48784	109
48791	110
48804	111
48852	112
48852	113
48853	114
48885	115
48896	116
48899	117
48902	118
48908	119
48947	120
48958	121
48958	122
48959	123
48971	124
48987	125
49002	126
49008	127
49011	128
49015	129
49037	130
49050	131
49051	132
49055	133
49059	134
49060	135
49069	136
49070	137
49075	138
49075	139
49085	140
49086	141
49087	142
49087	143
49101	144
49110	145
49131	146
49140	147
49141	148
49146	149
49148	150
49149	151
49150	152
49170	153
49175	154
49187	155
49190	156
49195	157
49201	158
49201	159
49205	160
49212	161
49214	162
49223	163
49226	164
49228	165
49231	166
49242	167
49245	168
49246	169
49247	170
49248	171
49249	172
49251	173
49257	174
49257	175
49258	176
49258	177
49264	178
49267	179
49276	180
49282	181
49285	182
49286	183
49289	184
49292	185
49304	186
49305	187
49320	188
49320	189
49335	190
49341	191
49343	192
49344	193
49348	194
49351	195
49351	196
49353	197
49357	198
49360	199
49363	200
49365	201
49368	202
49369	203
49369	204
49373	205
49374	206
49374	207
49383	208
49385	209
49385	210
49387	211
49387	212
49388	213
49392	214
49396	215
49400	216
49410	217
49413	218
49424	219
49429	220
49432	221
49433	222
49435	223
49436	224
49436	225
49438	226
49440	227
49443	228
49443	229
49443	230
49447	231
49450	232
49450	233
49450	234
49454	235
49457	236
49457	237
49457	238
49460	239
49462	240
49463	241
49466	242
49467	243
49471	244
49475	245
49475	246
49477	247
49479	248
49485	249
49486	250
49491	251
49494	252
49497	253
49497	254
49501	255
49508	256
49510	257
49511	258
49512	259
49518	260
49520	261
49521	262
49522	263
49522	264
49523	265
49523	266
49524	267
49525	268
49526	269
49526	270
49527	271
49529	272
49529	273
49531	274
49532	275
49534	276
49536	277
49537	278
49537	279
49538	280
49540	281
49542	282
49544	283
49546	284
49547	285
49547	286
49547	287
49547	288
49548	289
49552	290
49553	291
49558	292
49559	293
49559	294
49560	295
49560	296
49563	297
49563	298
49565	299
49566	300
49568	301
49570	302
49571	303
49571	304
49571	305
49573	306
49577	307
49583	308
49586	309
49587	310
49590	311
49592	312
49594	313
49595	314
49598	315
49600	316
49601	317
49601	318
49602	319
49604	320
49605	321
49606	322
49610	323
49611	324
49612	325
49613	326
49615	327
49615	328
49616	329
49619	330
49620	331
49621	332
49622	333
49622	334
49623	335
49624	336
49625	337
49625	338
49626	339
49627	340
49629	341
49631	342
49632	343
49636	344
49637	345
49638	346
49638	347
49638	348
49641	349
49645	350
49645	351
49645	352
49646	353
49646	354
49647	355
49647	356
49650	357
49651	358
49653	359
49654	360
49657	361
49657	362
49657	363
49658	364
49659	365
49661	366
49661	367
49662	368
49665	369
49665	370
49665	371
49666	372
49666	373
49668	374
49669	375
49670	376
49670	377
49671	378
49675	379
49676	380
49677	381
49678	382
49678	383
49679	384
